employee_id,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki
100118,67,31,IC,Influencer-Conscientious,ISTJ,109.51351351351352,32.0,2
100119,96,35,SI,Steadiness-Influencer,INTJ,102.0,29.0,1
100120,53,45,SC,Steadiness-Conscientious,ENFP,127.0,29.0,8
100121,95,85,CI,Steadiness-Dominant,INFJ,84.0,21.0,10
100122,27,63,CS,Conscientious-Steadiness,ESTP,109.51351351351352,27.464839094159714,2
100123,40,42,CD,Conscientious-Dominant,ESTJ,107.0,27.0,8
100124,38,84,DC,Dominant-Conscientious,ESFP,109.51351351351352,27.464839094159714,8
100125,28,72,DC,Dominant-Conscientious,ENTP,109.51351351351352,30.0,6
100126,86,53,DS,Dominant-Steadiness,ISFP,120.0,24.0,1
100127,20,65,CI,Conscientious-Influencer,ENFP,109.51351351351352,27.464839094159714,1
100128,70,69,DC,Dominant-Conscientious,ESTP,117.0,38.0,3
100129,64,40,CS,Conscientious-Steadiness,ENTP,109.0,28.0,3
100130,39,80,CD,Conscientious-Dominant,INTP,84.0,24.0,9
100131,51,47,DS,Dominant-Steadiness,ESTP,102.0,24.0,2
100132,66,59,SI,Steadiness-Influencer,ISFP,118.0,33.0,8
100133,44,89,CI,Conscientious-Influencer,ENTP,104.0,39.0,4
100134,33,89,CS,Conscientious-Steadiness,INTJ,119.0,22.0,6
100135,87,64,CI,Conscientious-Influencer,INFP,113.0,27.0,7
100136,45,53,ID,Influencer-Dominant,ESFJ,131.0,26.0,10
100137,73,32,DC,Dominant-Conscientious,ESFJ,125.0,16.0,10
100138,29,27,IC,Influencer-Conscientious,ISFJ,109.51351351351352,27.464839094159714,9
100139,47,90,IC,Influencer-Conscientious,ENTP,109.51351351351352,27.464839094159714,8
100140,92,73,DI,Dominant-Influencer,ISFP,109.51351351351352,33.0,1
100141,91,28,DC,Dominant-Conscientious,ENFJ,124.0,29.0,8
100142,98,64,ID,Influencer-Dominant,ESTP,109.51351351351352,27.464839094159714,1
100143,38,93,IS,Influencer-Steadiness,ESFP,122.0,21.0,3
100144,60,58,CI,Conscientious-Influencer,ENFP,109.51351351351352,23.0,8
100145,51,100,SC,Steadiness-Conscientious,INFP,107.0,31.0,9
100146,90,91,CS,Conscientious-Steadiness,INTP,120.0,21.0,9
100147,67,49,IS,Influencer-Steadiness,ESFJ,109.51351351351352,34.0,5
100148,43,77,IS,Influencer-Steadiness,INTP,120.0,34.0,2
100149,28,28,CI,Dominant-Conscientious,ESTJ,122.0,26.0,7
100150,69,77,CS,Conscientious-Steadiness,ENFP,125.0,26.0,4
100151,35,65,DI,Dominant-Influencer,INTP,123.0,15.0,10
100152,33,67,IC,Influencer-Conscientious,ENFP,93.0,22.0,6
100153,85,73,CI,Conscientious-Influencer,ENFJ,109.51351351351352,31.0,9
100154,86,42,ID,Influencer-Dominant,ESFP,117.0,26.0,10
100155,73,57,CD,Conscientious-Dominant,ENTP,109.51351351351352,27.464839094159714,4
100156,51,58,SI,Steadiness-Influencer,ESFJ,80.0,29.0,7
100157,34,50,IC,Influencer-Conscientious,ISTJ,118.0,24.0,4
100158,33,64,SD,Steadiness-Dominant,INTJ,137.0,23.0,6
100159,94,74,CI,Conscientious-Influencer,INFJ,109.51351351351352,29.0,4
100160,70,90,DC,Dominant-Conscientious,INTP,133.0,25.0,4
100161,42,52,CD,Conscientious-Dominant,ENFP,113.0,20.0,3
100162,43,93,DI,Dominant-Influencer,ENTP,138.0,22.0,2
100163,57,96,CI,Influencer-Conscientious,ESTP,137.0,28.0,10
100164,88,41,IS,Influencer-Steadiness,ENFJ,109.51351351351352,34.0,9
100165,48,39,CS,Conscientious-Steadiness,ENTP,123.0,29.0,5
100166,38,31,IC,Influencer-Conscientious,ISFP,109.51351351351352,27.464839094159714,10
100167,67,21,CD,Conscientious-Dominant,ESTP,119.0,24.0,1
100168,33,65,CI,Conscientious-Influencer,ISTJ,114.0,34.0,1
100169,90,43,CS,Conscientious-Steadiness,ESFP,101.0,20.0,3
100170,55,95,CI,Conscientious-Influencer,INFJ,109.51351351351352,27.464839094159714,1
100171,91,66,IC,Influencer-Conscientious,ISFJ,136.0,22.0,4
100172,77,34,CI,Conscientious-Influencer,ENTP,115.0,22.0,10
100173,75,42,ID,Influencer-Dominant,INTP,109.51351351351352,27.0,2
100174,70,77,IC,Influencer-Conscientious,ESFJ,109.51351351351352,27.464839094159714,4
100175,30,89,IC,Influencer-Conscientious,ESFJ,133.0,25.0,3
100176,54,47,SD,Steadiness-Dominant,ENTP,134.0,38.0,6
100177,57,28,DI,Dominant-Influencer,INTJ,86.0,28.0,3
100178,73,63,DI,Dominant-Influencer,ESFJ,106.0,27.0,2
100179,57,94,SD,Steadiness-Dominant,ESTJ,109.51351351351352,27.464839094159714,2
100180,97,58,CS,Conscientious-Steadiness,INTJ,101.0,42.0,10
100181,57,82,DC,Dominant-Conscientious,ESFJ,109.51351351351352,27.464839094159714,8
100182,27,67,CD,Conscientious-Dominant,ENTP,109.51351351351352,27.464839094159714,6
100183,29,87,CI,Conscientious-Influencer,INTP,109.51351351351352,27.464839094159714,3
100184,26,44,CS,Conscientious-Steadiness,ENTJ,113.0,26.0,3
100185,31,68,SD,Steadiness-Dominant,INFJ,109.51351351351352,28.0,3
100186,34,44,CI,Conscientious-Influencer,ENTP,128.0,37.0,9
100187,72,88,CD,Conscientious-Dominant,ENFP,88.0,23.0,7
100188,90,92,DI,Dominant-Influencer,INFP,92.0,26.0,4
100189,22,30,CI,Conscientious-Influencer,ENFJ,129.0,25.0,2
100190,88,99,ID,Influencer-Dominant,INFP,112.0,19.0,5
100191,45,44,SC,Steadiness-Conscientious,ENFJ,138.0,18.0,6
100192,70,35,SI,Steadiness-Influencer,INTP,111.0,34.0,2
100193,26,39,DI,Dominant-Influencer,INFJ,134.0,30.0,10
100194,58,59,CD,Conscientious-Dominant,ISFP,109.0,34.0,9
100195,72,27,IC,Influencer-Conscientious,ENFJ,124.0,31.0,8
100196,98,73,DS,Dominant-Steadiness,ISFJ,109.51351351351352,27.464839094159714,3
100197,51,52,CI,Conscientious-Influencer,INFJ,83.0,27.0,1
100198,20,30,SD,Steadiness-Dominant,ESTJ,87.0,20.0,9
100199,99,23,CI,Conscientious-Influencer,ENFP,97.0,24.0,9
100200,24,99,CI,Conscientious-Influencer,ISTJ,102.0,25.0,7
100201,39,98,DC,Dominant-Conscientious,ISFJ,101.0,31.0,9
100202,64,24,SI,Steadiness-Influencer,ENFP,111.0,21.0,2
100203,72,74,CD,Conscientious-Dominant,ESFP,92.0,29.0,2
100204,59,84,CI,Conscientious-Influencer,ISFJ,109.51351351351352,27.464839094159714,6
100205,61,36,CS,Conscientious-Steadiness,INFJ,139.0,28.0,5
100206,24,40,IS,Influencer-Steadiness,INTJ,115.0,33.0,6
100207,62,95,CI,Dominant-Influencer,ESTJ,91.0,26.0,7
100208,92,48,DI,Dominant-Influencer,ESFP,89.0,33.0,2
100209,29,34,IS,Influencer-Steadiness,ESTJ,126.0,21.0,6
100210,32,73,ID,Influencer-Dominant,ISTJ,109.51351351351352,27.464839094159714,7
100211,27,69,DC,Dominant-Conscientious,INTJ,135.0,30.0,2
100212,91,31,ID,Influencer-Dominant,INTP,92.0,31.0,8
100213,41,36,DS,Dominant-Steadiness,ENTJ,94.0,32.0,4
100214,43,99,CD,Conscientious-Dominant,INTP,109.51351351351352,27.464839094159714,4
100215,64,79,CS,Conscientious-Steadiness,ENFP,105.0,20.0,7
100216,85,20,DC,Dominant-Conscientious,INFP,111.0,25.0,5
100217,66,88,SC,Steadiness-Conscientious,INTP,109.51351351351352,32.0,1
100218,59,98,ID,Influencer-Dominant,ESTP,95.0,27.0,1
100219,69,52,ID,Influencer-Dominant,ENTJ,106.0,39.0,2
100220,56,76,SI,Steadiness-Influencer,INTP,84.0,18.0,1
100221,61,50,SI,Steadiness-Influencer,ESFJ,119.0,33.0,5
100222,30,93,CD,Conscientious-Dominant,INTJ,88.0,28.0,4
100223,61,96,IS,Influencer-Steadiness,ENFP,96.0,23.0,8
100224,79,67,CD,Conscientious-Dominant,ENFJ,114.0,22.0,8
100225,38,28,SI,Steadiness-Influencer,ENFP,123.0,31.0,4
100226,76,73,CS,Conscientious-Steadiness,ENTP,124.0,30.0,8
100227,39,89,DS,Dominant-Steadiness,ISTJ,102.0,24.0,4
100228,97,46,ID,Influencer-Dominant,ISFJ,116.0,29.0,6
100229,69,55,CI,Conscientious-Influencer,ISFP,103.0,12.0,8
100230,30,63,IC,Influencer-Conscientious,ESFP,90.0,18.0,7
100231,60,70,SI,Steadiness-Influencer,ENFP,139.0,23.0,6
100232,59,75,IC,Influencer-Conscientious,ESTJ,109.51351351351352,27.464839094159714,9
100233,81,41,CI,Influencer-Conscientious,ENFP,125.0,31.0,5
100234,76,87,IC,Influencer-Conscientious,ENTJ,117.0,31.0,3
100235,24,57,CI,Conscientious-Influencer,ESFP,88.0,24.0,5
100236,58,84,IS,Influencer-Steadiness,ISFP,116.0,31.0,2
100237,54,80,CS,Conscientious-Steadiness,ESFJ,140.0,34.0,1
100238,63,20,DI,Dominant-Influencer,ESFJ,109.51351351351352,27.464839094159714,5
100239,47,41,CS,Conscientious-Steadiness,ISFP,109.51351351351352,27.464839094159714,3
100240,26,35,SI,Steadiness-Influencer,ENFP,84.0,28.0,1
100241,98,89,CI,Conscientious-Steadiness,ISTJ,109.51351351351352,27.464839094159714,8
100242,46,97,CS,Conscientious-Steadiness,ESFP,93.0,24.0,2
100243,30,50,SI,Steadiness-Influencer,ISFP,116.0,34.0,5
100244,84,47,DC,Dominant-Conscientious,INTJ,128.0,36.0,1
100245,63,98,CI,Steadiness-Dominant,ISTJ,109.51351351351352,27.464839094159714,9
100246,38,61,CS,Conscientious-Steadiness,ESTJ,82.0,24.0,7
100247,82,58,IC,Influencer-Conscientious,ENFJ,85.0,21.0,8
100248,54,20,SI,Steadiness-Influencer,ENFP,102.0,34.0,3
100249,36,42,SI,Steadiness-Influencer,ISFJ,86.0,29.0,6
100250,33,50,DI,Dominant-Influencer,ENFP,89.0,28.0,1
100251,64,20,SC,Steadiness-Conscientious,ISTP,121.0,25.0,7
100252,35,34,SD,Steadiness-Dominant,ENFJ,105.0,25.0,5
100253,48,93,IC,Influencer-Conscientious,INTP,91.0,23.0,2
100254,99,39,ID,Influencer-Dominant,ESTJ,84.0,13.0,9
100255,96,52,SD,Steadiness-Dominant,INFP,121.0,25.0,1
100256,59,25,CD,Conscientious-Dominant,ISFJ,80.0,38.0,3
100257,54,95,SC,Steadiness-Conscientious,ENFP,109.51351351351352,27.464839094159714,9
100258,74,63,DS,Dominant-Steadiness,INFJ,121.0,29.0,5
100259,97,22,CI,Conscientious-Influencer,INFP,88.0,34.0,2
100260,42,80,ID,Influencer-Dominant,ESTP,87.0,14.0,1
100261,43,53,IS,Influencer-Steadiness,INFP,138.0,18.0,6
100262,94,31,DS,Dominant-Steadiness,ISFJ,136.0,19.0,4
100263,73,79,DS,Dominant-Steadiness,ESFJ,123.0,24.0,1
100264,38,97,SD,Steadiness-Dominant,ESTP,91.0,19.0,3
100265,77,55,IS,Influencer-Steadiness,ENTP,91.0,29.0,7
100266,26,39,SI,Steadiness-Influencer,ISFP,98.0,33.0,3
100267,69,62,CD,Conscientious-Dominant,ENFP,109.51351351351352,27.464839094159714,7
100268,98,67,DC,Dominant-Conscientious,ENTP,94.0,33.0,6
100269,26,20,CS,Conscientious-Steadiness,ISFP,84.0,25.0,6
100270,98,22,DS,Dominant-Steadiness,ISTP,85.0,22.0,1
100271,55,36,IC,Influencer-Conscientious,ISFJ,92.0,21.0,1
100272,71,22,CS,Conscientious-Steadiness,INFJ,109.51351351351352,24.0,5
100273,22,35,IC,Influencer-Conscientious,ESFJ,109.51351351351352,27.464839094159714,2
100274,98,46,DS,Dominant-Steadiness,ENFJ,94.0,40.0,10
100275,95,38,CI,Conscientious-Influencer,ESFJ,125.0,26.0,3
100276,67,59,SI,Steadiness-Influencer,ENFJ,109.51351351351352,27.464839094159714,4
100277,49,62,CD,Conscientious-Dominant,ESFP,119.0,36.0,1
100278,84,46,CD,Conscientious-Dominant,ISTJ,109.51351351351352,28.0,6
100279,73,36,CI,Steadiness-Influencer,ENTJ,106.0,30.0,3
100280,26,63,DC,Dominant-Conscientious,ESFJ,119.0,13.0,2
100281,43,40,CD,Conscientious-Dominant,ESTJ,93.0,27.0,6
100282,91,61,SC,Steadiness-Conscientious,INTJ,126.0,37.0,8
100283,32,47,CS,Conscientious-Steadiness,ESFP,139.0,33.0,9
100284,46,48,IC,Influencer-Conscientious,ISFJ,98.0,22.0,2
100285,29,87,CI,Conscientious-Influencer,INFP,140.0,27.0,8
100286,96,60,IS,Influencer-Steadiness,ENFP,96.0,25.0,6
100287,90,68,CI,Dominant-Influencer,ESTJ,104.0,37.0,6
100288,29,70,ID,Influencer-Dominant,ISTP,82.0,21.0,6
100289,97,26,SI,Steadiness-Influencer,ISTP,88.0,25.0,9
100290,78,60,DI,Dominant-Influencer,ENFP,85.0,32.0,2
100291,39,31,CD,Conscientious-Dominant,ISTP,123.0,26.0,6
100292,83,36,CS,Conscientious-Steadiness,ENFJ,92.0,25.0,3
100293,81,66,DI,Dominant-Influencer,INFJ,82.0,27.0,7
100294,92,78,CI,Conscientious-Influencer,INFJ,124.0,25.0,5
100295,84,73,CS,Conscientious-Steadiness,INTP,102.0,30.0,10
100296,92,54,ID,Influencer-Dominant,ISFP,84.0,24.0,4
100297,27,65,DS,Dominant-Steadiness,INFP,135.0,29.0,8
100298,99,62,SC,Steadiness-Conscientious,ESFP,81.0,29.0,5
100299,40,71,IC,Influencer-Conscientious,ENTJ,125.0,23.0,8
100300,99,80,CI,Dominant-Steadiness,ENFJ,126.0,31.0,4
100301,36,72,SI,Steadiness-Influencer,ENTP,123.0,23.0,7
100302,56,74,IC,Influencer-Conscientious,INTP,130.0,26.0,10
100303,44,86,DC,Dominant-Conscientious,ENFP,94.0,23.0,10
100304,62,53,CI,Conscientious-Influencer,ENFP,109.51351351351352,27.464839094159714,7
100305,59,76,CI,Conscientious-Influencer,ESTJ,113.0,25.0,9
100306,22,59,CI,Dominant-Influencer,ESTJ,109.51351351351352,39.0,6
100307,40,52,SC,Steadiness-Conscientious,ESFJ,109.51351351351352,27.464839094159714,10
100308,98,26,DI,Dominant-Influencer,ESFP,105.0,24.0,6
100309,91,95,SC,Steadiness-Conscientious,ENTP,120.0,28.0,1
100310,21,92,SI,Steadiness-Influencer,ESFP,91.0,31.0,5
100311,71,46,IS,Influencer-Steadiness,INTP,102.0,23.0,10
100312,53,24,ID,Influencer-Dominant,INTJ,109.51351351351352,27.464839094159714,10
100313,85,69,CI,Influencer-Dominant,INTP,105.0,30.0,4
100314,66,35,SC,Steadiness-Conscientious,INTJ,116.0,22.0,1
100315,77,50,CS,Conscientious-Steadiness,ISFP,99.0,28.0,2
100316,63,34,DC,Dominant-Conscientious,ISFP,82.0,28.0,7
100317,43,64,ID,Influencer-Dominant,ISFP,95.0,35.0,6
100318,58,90,ID,Influencer-Dominant,ENFP,109.51351351351352,27.464839094159714,1
100319,60,44,SD,Steadiness-Dominant,ENFP,139.0,32.0,7
100320,46,82,DS,Dominant-Steadiness,ISFP,99.0,22.0,6
100321,80,47,SI,Steadiness-Influencer,INFJ,136.0,31.0,10
100322,83,90,DS,Dominant-Steadiness,ISTP,85.0,25.0,10
100323,65,90,CD,Conscientious-Dominant,ENFP,92.0,32.0,2
100324,47,47,CI,Conscientious-Influencer,ISTP,108.0,28.0,5
100325,58,66,DC,Dominant-Conscientious,INTP,109.51351351351352,35.0,5
100326,38,47,ID,Influencer-Dominant,ISTP,92.0,36.0,2
100327,48,22,SC,Steadiness-Conscientious,ENFJ,122.0,33.0,3
100328,80,30,IS,Influencer-Steadiness,ENTP,130.0,38.0,2
100329,93,48,DI,Dominant-Influencer,ISTP,92.0,19.0,3
100330,93,76,IC,Influencer-Conscientious,ESTP,109.51351351351352,36.0,1
100331,74,31,ID,Influencer-Dominant,ENFP,127.0,28.0,10
100332,57,26,CD,Conscientious-Dominant,ISFP,95.0,25.0,8
100333,64,56,CS,Conscientious-Steadiness,ENFP,92.0,24.0,4
100334,24,88,DC,Dominant-Conscientious,ENFJ,109.51351351351352,27.464839094159714,5
100335,85,31,CI,Influencer-Steadiness,INFP,119.0,37.0,5
100336,46,96,SI,Steadiness-Influencer,ISTJ,117.0,30.0,5
100337,53,78,CI,Steadiness-Conscientious,ENTJ,85.0,22.0,4
100338,99,96,SC,Steadiness-Conscientious,ESFJ,109.51351351351352,27.464839094159714,6
100339,67,82,IC,Influencer-Conscientious,INFP,81.0,27.0,4
100340,94,25,SD,Steadiness-Dominant,INTP,109.51351351351352,27.464839094159714,5
100341,63,42,IC,Influencer-Conscientious,ESFJ,136.0,22.0,7
100342,72,82,SI,Steadiness-Influencer,INFP,88.0,33.0,8
100343,22,68,DC,Dominant-Conscientious,INTJ,109.51351351351352,28.0,8
100344,69,75,IS,Influencer-Steadiness,INTP,109.51351351351352,27.464839094159714,7
100345,23,47,ID,Influencer-Dominant,ESFP,139.0,26.0,1
100346,93,89,IC,Influencer-Conscientious,INTJ,94.0,23.0,3
100347,54,98,CD,Conscientious-Dominant,ENTJ,109.51351351351352,27.464839094159714,5
100348,24,49,SI,Steadiness-Influencer,INFJ,95.0,26.0,2
100349,42,31,IC,Influencer-Conscientious,ESTP,109.51351351351352,27.464839094159714,5
100350,42,69,DC,Dominant-Conscientious,ENFP,109.51351351351352,27.464839094159714,9
100351,48,91,CS,Conscientious-Steadiness,INTJ,139.0,31.0,6
100352,93,95,SD,Steadiness-Dominant,ISTJ,85.0,29.0,6
100353,29,93,DI,Dominant-Influencer,ENFJ,89.0,41.0,7
100354,49,82,CD,Conscientious-Dominant,INFP,109.51351351351352,27.464839094159714,1
100355,68,22,CD,Conscientious-Dominant,ENFP,103.0,26.0,3
100356,38,84,DS,Dominant-Steadiness,ENTJ,109.51351351351352,27.464839094159714,2
100357,61,99,ID,Influencer-Dominant,ENTJ,119.0,30.0,1
100358,29,98,CI,Steadiness-Conscientious,ENFJ,127.0,25.0,10
100359,47,25,SC,Steadiness-Conscientious,ENFP,91.0,22.0,4
100360,91,92,DC,Dominant-Conscientious,ENTJ,110.0,26.0,2
100361,32,47,IS,Influencer-Steadiness,ESFJ,83.0,34.0,4
100362,100,64,CI,Steadiness-Influencer,ENFP,109.51351351351352,29.0,4
100363,52,85,IC,Influencer-Conscientious,INTP,128.0,27.0,5
100364,59,86,IS,Influencer-Steadiness,ESTP,97.0,31.0,4
100365,33,27,CI,Conscientious-Influencer,INFP,111.0,27.0,9
100366,23,34,DI,Dominant-Influencer,ESTP,93.0,22.0,8
100367,80,42,SD,Steadiness-Dominant,ISFJ,119.0,27.0,3
